Designator,Footprint,Quantity,Value,LCSC Part #
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D4, D5, D6, D7, D8, D9",Diode_1N4148-SOD123,36,C81598,
"J2, J3, J4, J5",Connector_FFC-12pin-0.5mm-horizontal,4,C479750,
"J8, J9",Connector_FFC-12pin-0.5mm-vertical,2,C262499,
